,Airline,Source,Destination,Route,Total_Stops,Additional_Info,Price,day,month,dep_hr,dep_min,arr_hr,arr_min,duration
0,IndiGo,Banglore,New Delhi,BLR ? DEL,non-stop,No info,3897,24,3,22,20,1,10,0 days 02:50:00
1,Air India,Kolkata,Banglore,CCU ? IXR ? BBI ? BLR,2 stops,No info,7662,5,1,5,50,13,15,0 days 07:25:00
2,Jet Airways,Delhi,Cochin,DEL ? LKO ? BOM ? COK,2 stops,No info,13882,6,9,9,25,4,25,0 days 19:00:00
3,IndiGo,Kolkata,Banglore,CCU ? NAG ? BLR,1 stop,No info,6218,5,12,18,5,23,30,0 days 05:25:00
4,IndiGo,Banglore,New Delhi,BLR ? NAG ? DEL,1 stop,No info,13302,3,1,16,50,21,35,0 days 04:45:00
5,SpiceJet,Kolkata,Banglore,CCU ? BLR,non-stop,No info,3873,24,6,9,0,11,25,0 days 02:25:00
6,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,1 stop,In-flight meal not included,11087,3,12,18,55,10,25,0 days 15:30:00
7,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,1 stop,No info,22270,3,1,8,0,5,5,0 days 21:05:00
8,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,1 stop,In-flight meal not included,11087,3,12,8,55,10,25,1 days 01:30:00
9,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,8625,27,5,11,25,19,15,0 days 07:50:00
10,Air India,Delhi,Cochin,DEL ? BLR ? COK,1 stop,No info,8907,6,1,9,45,23,0,0 days 13:15:00
11,IndiGo,Kolkata,Banglore,CCU ? BLR,non-stop,No info,4174,18,4,20,20,22,55,0 days 02:35:00
12,Air India,Chennai,Kolkata,MAA ? CCU,non-stop,No info,4667,24,6,11,40,13,55,0 days 02:15:00
13,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,In-flight meal not included,9663,5,9,21,10,9,20,0 days 12:10:00
14,IndiGo,Kolkata,Banglore,CCU ? BLR,non-stop,No info,4804,24,4,17,15,19,50,0 days 02:35:00
15,Air India,Delhi,Cochin,DEL ? AMD ? BOM ? COK,2 stops,No info,14011,3,3,16,40,19,15,1 days 02:35:00
16,SpiceJet,Delhi,Cochin,DEL ? PNQ ? COK,1 stop,No info,5830,15,4,8,45,13,15,0 days 04:30:00
17,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,10262,6,12,14,0,12,35,0 days 22:35:00
18,Air India,Delhi,Cochin,DEL ? CCU ? BOM ? COK,2 stops,No info,13381,6,12,20,15,19,15,0 days 23:00:00
19,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,12898,27,5,16,0,12,35,0 days 20:35:00
20,GoAir,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,19495,3,6,14,10,19,20,0 days 05:10:00
21,Air India,Banglore,New Delhi,BLR ? COK ? DEL,1 stop,No info,6955,21,3,22,0,13,20,0 days 15:20:00
22,IndiGo,Banglore,Delhi,BLR ? DEL,non-stop,No info,3943,4,3,4,0,6,50,0 days 02:50:00
23,IndiGo,Banglore,Delhi,BLR ? DEL,non-stop,No info,4823,5,1,18,55,21,50,0 days 02:55:00
24,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,In-flight meal not included,7757,5,6,18,55,8,15,0 days 13:20:00
25,Jet Airways,Delhi,Cochin,DEL ? IDR ? BOM ? COK,2 stops,No info,13292,6,9,21,25,12,35,0 days 15:10:00
26,IndiGo,Delhi,Cochin,DEL ? LKO ? COK,1 stop,No info,8238,6,1,21,50,3,35,0 days 05:45:00
27,GoAir,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,7682,15,5,7,0,12,55,0 days 05:55:00
28,Vistara,Banglore,Delhi,BLR ? DEL,non-stop,No info,4668,18,6,9,45,12,35,0 days 02:50:00
29,Vistara,Chennai,Kolkata,MAA ? CCU,non-stop,No info,3687,15,6,7,5,9,20,0 days 02:15:00
30,Vistara,Chennai,Kolkata,MAA ? CCU,non-stop,No info,3687,18,6,7,5,9,20,0 days 02:15:00
31,Air India,Kolkata,Banglore,CCU ? GAU ? DEL ? BLR,2 stops,No info,13227,5,1,9,50,23,15,0 days 13:25:00
32,IndiGo,Banglore,Delhi,BLR ? DEL,non-stop,No info,4423,4,6,4,0,6,50,0 days 02:50:00
33,Jet Airways,Delhi,Cochin,DEL ? NAG ? BOM ? COK,2 stops,In-flight meal not included,10919,15,6,14,35,12,35,0 days 22:00:00
34,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,12373,18,5,7,5,12,35,0 days 05:30:00
35,IndiGo,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,5894,27,6,10,35,21,0,0 days 10:25:00
36,SpiceJet,Kolkata,Banglore,CCU ? MAA ? BLR,1 stop,No info,4649,21,5,15,5,20,20,0 days 05:15:00
37,Air India,Kolkata,Banglore,CCU ? BLR,non-stop,No info,6245,18,5,14,15,16,45,0 days 02:30:00
38,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,1 stop,No info,19225,3,6,7,0,13,15,0 days 06:15:00
39,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,14924,6,3,7,5,19,0,0 days 11:55:00
40,Multiple carriers,Delhi,Cochin,DEL ? HYD ? COK,1 stop,No info,9646,21,5,7,5,18,10,0 days 11:05:00
41,Air India,Banglore,New Delhi,BLR ? BOM ? DEL,1 stop,No info,8714,15,3,6,45,15,15,0 days 08:30:00
42,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,12373,18,5,20,55,19,0,0 days 22:05:00
43,Air Asia,Banglore,Delhi,BLR ? DEL,non-stop,No info,3383,5,6,11,10,13,55,0 days 02:45:00
44,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,13062,21,3,9,0,21,0,0 days 12:00:00
45,SpiceJet,Banglore,New Delhi,BLR ? DEL,non-stop,No check-in baggage included,3527,24,3,5,45,8,35,0 days 02:50:00
46,IndiGo,Banglore,Delhi,BLR ? DEL,non-stop,No info,3943,27,5,4,0,6,50,0 days 02:50:00
47,Air India,Chennai,Kolkata,MAA ? CCU,non-stop,No info,4667,5,3,11,40,13,55,0 days 02:15:00
48,Air India,Kolkata,Banglore,CCU ? HYD ? BLR,1 stop,No info,6117,15,5,19,0,11,5,0 days 16:05:00
49,Jet Airways,Delhi,Cochin,DEL ? AMD ? BOM ? COK,2 stops,In-flight meal not included,11150,27,6,23,5,19,0,0 days 19:55:00
50,Jet Airways,Delhi,Cochin,DEL ? COK,non-stop,In-flight meal not included,7202,3,9,11,0,14,15,0 days 03:15:00
51,Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,No info,12121,5,1,9,35,10,55,1 days 01:20:00
52,IndiGo,Banglore,New Delhi,BLR ? DEL,non-stop,No info,4377,24,3,22,20,1,10,0 days 02:50:00
53,IndiGo,Banglore,Delhi,BLR ? DEL,non-stop,No info,3943,18,6,21,15,0,15,0 days 03:00:00
54,Air Asia,Banglore,Delhi,BLR ? DEL,non-stop,No info,4483,4,3,23,55,2,45,0 days 02:50:00
55,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,No info,14231,24,3,19,45,12,0,0 days 16:15:00
56,Air India,Banglore,New Delhi,BLR ? BOM ? AMD ? DEL,2 stops,No info,17345,3,1,8,50,23,55,0 days 15:05:00
57,Vistara,Chennai,Kolkata,MAA ? CCU,non-stop,No info,7414,3,6,7,5,9,20,0 days 02:15:00
58,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,8073,5,6,19,0,1,30,0 days 06:30:00
59,Vistara,Mumbai,Hyderabad,BOM ? DEL ? HYD,1 stop,No info,12395,3,6,15,40,16,45,1 days 01:05:00
60,Air India,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,No info,8366,6,6,9,25,21,50,0 days 12:25:00
61,Air India,Delhi,Cochin,DEL ? MAA ? COK,1 stop,No info,5117,4,3,6,5,9,25,1 days 03:20:00
62,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,12524,6,3,8,45,19,0,0 days 10:15:00
